timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
168576.0,2026,4,20,22,49,0,32.8810294,-117.2332576,121.521,87.757,16.057,16.11,3,0,17,0.0159,0.021,0.0,-0.006,0.02,0.016,0,PVT
168577.0,2026,4,20,22,49,0,32.8810286,-117.2332556,121.259,87.495,14.564,14.795,3,0,17,0.0159,0.087,0.0,0.042,-0.076,-0.168,0,PVT
168578.0,2026,4,20,22,49,0,32.8810254,-117.2332543,120.493,86.729,13.632,14.094,3,0,17,0.0159,0.349,0.0,-0.279,-0.21,-0.06,0,PVT
168579.0,2026,4,20,22,49,0,32.8810261,-117.2332525,120.171,86.407,12.941,13.371,3,0,17,0.0159,0.134,0.0,-0.087,0.102,0.022,0,PVT
168580.0,2026,4,20,22,49,0,32.8810247,-117.2332503,119.775,86.011,12.427,12.833,3,0,17,0.0159,0.077,0.0,-0.071,0.028,-0.054,0,PVT
168581.0,2026,4,20,22,49,0,32.8810283,-117.2332494,119.385,85.621,12.028,12.346,3,0,17,0.0159,0.507,0.0035489052,0.505,-0.048,-0.036,0,PVT
168582.0,2026,4,20,22,49,0,32.8810287,-117.2332483,119.027,85.263,11.502,11.827,3,0,17,0.0159,0.073,0.0035489052,0.069,0.024,0.015,0,PVT
168583.0,2026,4,20,22,49,0,32.8810299,-117.2332461,118.774,85.01,10.873,11.26,3,0,17,0.0159,0.076,0.0035489052,-0.053,0.055,0.064,0,PVT
168584.0,2026,4,20,22,49,0,32.8810319,-117.2332452,118.772,85.008,10.348,10.75,3,0,17,0.0159,0.182,0.0035489052,-0.171,0.063,0.129,0,PVT
168585.0,2026,4,20,22,49,0,32.8810337,-117.2332442,118.868,85.105,9.94,10.377,3,0,17,0.0159,0.041,0.0035489052,-0.005,0.041,-0.042,0,PVT
168586.0,2026,4,20,22,49,0,32.8810356,-117.2332443,118.876,85.112,9.611,10.066,3,0,17,0.0159,0.087,0.0035489052,0.024,-0.084,-0.118,0,PVT
168587.0,2026,4,20,22,49,0,32.8810372,-117.2332438,118.913,85.149,9.327,9.807,3,0,17,0.0159,0.157,0.0035489052,0.116,-0.105,-0.156,0,PVT
168588.0,2026,4,20,22,49,0,32.8810391,-117.2332412,118.343,84.579,8.842,9.278,3,0,17,0.0159,0.053,0.0035489052,0.032,0.042,-0.112,0,PVT
168589.702,2026,4,20,22,49,0,32.8810404,-117.23324,118.224,84.46,21.621,15.288,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
168590.0,2026,4,20,22,49,0,32.8810404,-117.23324,118.224,84.46,23.206,16.409,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
168591.0,2026,4,20,22,49,0,32.8805792,-117.2323659,117.939,84.175,143.854,37.414,2,0,4,0.021400000000000002,0.833,0.0,-0.746,0.372,-0.361,0,PVT
168592.0,2026,4,20,22,49,0,32.8808285,-117.232818,71.424,37.66,112.802,201.56,3,0,6,0.0681,0.091,0.0,-0.037,0.083,0.204,0,PVT
168593.0,2026,4,20,22,49,0,32.880851,-117.23287,74.13,40.366,62.707,67.994,3,0,10,0.0252,0.705,0.0016868229,-0.692,0.138,0.212,0,PVT
168594.0,2026,4,20,22,49,0,32.8810555,-117.2332041,111.439,77.675,39.313,44.422,3,0,16,0.016200000000000003,0.094,0.0016868229,-0.008,0.093,0.136,0,PVT
168595.0,2026,4,20,22,49,0,32.8810964,-117.2332829,120.66,86.896,27.641,29.722,3,0,17,0.0159,0.044,0.0016868229,0.043,0.009,0.073,0,PVT
168596.0,2026,4,20,22,49,0,32.8811531,-117.2333214,124.253,90.489,21.054,23.269,3,0,19,0.0139,0.15,0.0016868229,0.149,-0.023,0.007,0,PVT
168597.0,2026,4,20,22,49,0,32.8811412,-117.2333043,122.922,89.158,18.24,19.753,3,0,15,0.0173,0.1,0.0016868229,0.088,-0.048,-0.068,0,PVT
168598.0,2026,4,20,22,49,0,32.8811218,-117.2332788,121.773,88.009,16.094,17.685,3,0,15,0.0173,0.049,0.0016868229,0.001,-0.049,-0.079,0,PVT
168599.0,2026,4,20,22,49,0,32.8811119,-117.2332706,120.729,86.966,14.396,15.866,3,0,15,0.0169,0.11,0.0016868229,0.06,-0.092,-0.1,0,PVT
